Literal,Source,Part of the text,Entity type,ES Time elapsed,# ES Hits,DBpedia in first 100,100 or less,Hits
ACM Transactions on Internet Technology,1533-5399,1557-6051,1,2,Tekn - Nett og nettverksfunksjonalitet,1967,68261883,62.0,100.0,"[u'http://nl.dbpedia.org/resource/ACM_Transactions_on_Internet_Technology', u'http://nl.dbpedia.org/resource/ACM_Transactions_on_Internet_Technology', u'http://nl.dbpedia.org/resource/ACM_Transactions_on_Internet_Technology', u'http://nl.dbpedia.org/resource/ACM_Transactions_on_Internet_Technology', u'http://nl.dbpedia.org/resource/ACM_Transactions_on_Internet_Technology', u'http://www.wikidata.org/entity/Q2444691', u'http://wikidata.dbpedia.org/resource/Q2444691', u'http://nl.dbpedia.org/resource/Association_for_Computing_Machinery', u'http://dbpedia.org/resource/Association_for_Computing_Machinery', u'http://wikidata.dbpedia.org/resource/Q4650735', u'http://www.wikidata.org/entity/Q4650735', u'http://nl.dbpedia.org/resource/ACM_Transactions_on_Internet_Technology', u'http://nl.dbpedia.org/resource/ACM_Transactions_on_Internet_Technology', u'http://nl.dbpedia.org/resource/ACM_Transactions_on_Information_Systems', u'http://nl.dbpedia.org/resource/ACM_Transactions_on_Information_Systems', u'http://nl.dbpedia.org/resource/ACM_Transactions_on_the_Web', u'http://wikidata.dbpedia.org/resource/Q2076182', u'http://wikidata.dbpedia.org/resource/Q5970243', u'http://wikidata.dbpedia.org/resource/Q4650732', u'http://wikidata.dbpedia.org/resource/Q4650736']"
ACM transactions on sensor networks,1550-4867,1550-4859,1,2,Tekn - Nett og nettverksfunksjonalitet,1809,63678816,62.0,100.0,"[u'http://nl.dbpedia.org/resource/ACM_Transactions_on_Sensor_Networks', u'http://www.wikidata.org/entity/Q2327310', u'http://nl.dbpedia.org/resource/ACM_Transactions_on_Sensor_Networks', u'http://wikidata.dbpedia.org/resource/Q2327310', u'http://nl.dbpedia.org/resource/ACM_Transactions_on_Sensor_Networks', u'http://nl.dbpedia.org/resource/ACM_Transactions_on_Sensor_Networks', u'http://nl.dbpedia.org/resource/ACM_Transactions_on_Sensor_Networks', u'http://wikidata.dbpedia.org/resource/Q4650735', u'http://www.wikidata.org/entity/Q4650735', u'http://ld.zdb-services.de/resource/2206554-4', u'http://eprints.rkbexplorer.com/id/ecs-soton/journal-b6f6ee6c4828f0db08a49f260b557507', u'http://eprints.ecs.soton.ac.uk/id/publication/ext-4632aaea7fad6c904dc875e902a35126', u'http://eprints.rkbexplorer.com/id/twente/journal-b6f6ee6c4828f0db08a49f260b557507', u'http://eprints.ecs.soton.ac.uk/id/publication/ext-4632aaea7fad6c904dc875e902a35126', u'http://wikidata.dbpedia.org/resource/Q2327310', u'http://wikidata.dbpedia.org/resource/Q2327310', u'http://era.rkbexplorer.com/id/ERAID-17742', u'http://dbpedia.org/resource/Wireless_sensor_network', u'http://www.wikidata.org/entity/Q2327310', u'http://eprints.ecs.soton.ac.uk/id/publication/ext-4632aaea7fad6c904dc875e902a35126']"
ACM Transactions on the Web,1559-1131,1559-114X,1,2,Tekn - Nett og nettverksfunksjonalitet,5357,195770786,60.0,100.0,"[u'http://nl.dbpedia.org/resource/ACM_Transactions_on_the_Web', u'http://nl.dbpedia.org/resource/ACM_Transactions_on_the_Web', u'http://nl.dbpedia.org/resource/ACM_Transactions_on_the_Web', u'http://wikidata.dbpedia.org/resource/Q2750226', u'http://www.wikidata.org/entity/Q2750226', u'http://nl.dbpedia.org/resource/ACM_Transactions_on_the_Web', u'http://nl.dbpedia.org/resource/ACM_Transactions_on_the_Web', u'http://wikidata.dbpedia.org/resource/Q4650735', u'http://www.wikidata.org/entity/Q4650735', u'http://nl.dbpedia.org/resource/ACM_Transactions_on_Information_Systems', u'http://nl.dbpedia.org/resource/ACM_Transactions_on_Information_Systems', u'http://wikidata.dbpedia.org/resource/Q2076182', u'http://wikidata.dbpedia.org/resource/Q5970243', u'http://wikidata.dbpedia.org/resource/Q4650732', u'http://wikidata.dbpedia.org/resource/Q4650736', u'http://wikidata.dbpedia.org/resource/Q4650734', u'http://nl.dbpedia.org/resource/ACM_Transactions_on_Database_Systems', u'http://nl.dbpedia.org/resource/ACM_Transactions_on_Internet_Technology', u'http://nl.dbpedia.org/resource/ACM_Transactions_on_Sensor_Networks', u'http://www.wikidata.org/entity/Q2327310']"
ACS Applied Materials and Interfaces,1944-8244,1944-8252,2,1,Tekn - Kjemisk teknologi,2811,125184080,68.0,100.0,"[u'http://www.wikidata.org/entity/Q2819060', u'http://wikidata.dbpedia.org/resource/Q2819060', u'http://ld.zdb-services.de/resource/2467494-1', u'http://dbpedia.org/resource/ACS_Applied_Materials_&_Interfaces', u'http://dbpedia.org/resource/ACS_Applied_Materials_%26_Interfaces', u'http://dbpedia.org/resource/ACS_Applied_Materials_&_Interfaces', u'http://dbpedia.org/resource/ACS_Applied_Materials_&_Interfaces', u'http://fr.dbpedia.org/resource/ACS_Applied_Materials_&_Interfaces', u'http://wikidata.dbpedia.org/resource/Q2819060', u'http://dbpedia.org/resource/ACS_Applied_Materials_&_Interfaces', u'http://dbpedia.org/resource/ACS_Applied_Materials_&_Interfaces', u'http://es.dbpedia.org/resource/ACS_Applied_Materials_&_Interfaces', u'http://es.dbpedia.org/resource/ACS_Applied_Materials_&_Interfaces', u'http://dbpedia.org/resource/ACS_Applied_Materials_&_Interfaces', u'http://dbpedia.org/resource/ACS_Applied_Materials_&_Interfaces', u'http://fr.dbpedia.org/resource/ACS_Applied_Materials_&_Interfaces', u'http://dbpedia.org/resource/ACS_Applied_Materials_&_Interfaces', u'http://dbpedia.org/resource/ACS_Applied_Materials_&_Interfaces', u'http://dbpedia.org/resource/ACS_Applied_Materials_%26_Interfaces', u'http://dbpedia.org/resource/ACS_Applied_Materials_%26_Interfaces']"
American Journal of Law & Medicine,0098-8588,,2,1,Rettsvitenskap,4799,190665441,84.0,100.0,"[u'http://wikidata.dbpedia.org/resource/Q2646273', u'http://www.wikidata.org/entity/Q2646273', u'http://nl.dbpedia.org/resource/Journal_of_Cardiovascular_Medicine', u'http://nl.dbpedia.org/resource/Journal_of_Cardiovascular_Medicine', u'http://www.wikidata.org/entity/Q10310916', u'http://nl.dbpedia.org/resource/Journal_of_Cardiovascular_Medicine', u'http://nl.dbpedia.org/resource/Journal_of_Cardiovascular_Medicine', u'http://wikidata.dbpedia.org/resource/Q2733273', u'http://wikidata.dbpedia.org/resource/Q3186912', u'http://nl.dbpedia.org/resource/Journal_of_Cardiovascular_Medicine', u'http://www.wikidata.org/entity/Q2733273', u'http://wikidata.dbpedia.org/resource/Q10310916', u'http://www.wikidata.org/entity/Q3186912', u'http://nl.dbpedia.org/resource/New_England_Journal_of_Medicine', u'http://dbpedia.org/resource/The_New_England_Journal_of_Medicine', u'http://dbpedia.org/resource/The_New_England_Journal_of_Medicine', u'http://wikidata.dbpedia.org/resource/Q582728', u'http://nl.dbpedia.org/resource/Journal_of_Ultrasound_in_Medicine', u'http://dbpedia.org/resource/The_New_England_Journal_of_Medicine', u'http://www.wikidata.org/entity/Q582728']"
American Law and Economics Review,1465-7252,1465-7260,2,1,Rettsvitenskap,4584,133921030,52.0,100.0,"[u'http://ld.zdb-services.de/resource/1480678-2', u'http://aler.oxfordjournals.org/', u'http://wikidata.dbpedia.org/resource/Q15746666', u'http://wikidata.dbpedia.org/resource/Q15746666', u'http://wikidata.dbpedia.org/resource/Q15746666', u'http://www.wikidata.org/entity/Q15746666', u'http://www.wikidata.org/entity/Q15746666', u'http://lod.hebis.de/resource/07917355', u'http://lod.hebis.de/resource/07237600', u'http://ld.zdb-services.de/resource/1473599-4', u'http://eprints.rkbexplorer.com/id/lse/journal-2a593b19b29a7ad16f47e8ae2b8ead53', u'http://wikidata.dbpedia.org/resource/Q15746666', u'http://era.rkbexplorer.com/id/ERAID-18316', u'http://www.wikidata.org/entity/Q15746666S5C1A8227-B81E-462F-B09D-FDC7AA7985AC', u'http://lobid.org/resource/ZDB1480678-2', u'http://www.wikidata.org/entity/Q15746666', u'http://www.wikidata.org/entity/Q15746666', u'http://www.wikidata.org/entity/Q15746666', u'http://lod.hebis.de/resource/07917355', u'http://wikidata.dbpedia.org/resource/Q15746666']"
American Society of Nephrology. Clinical Journal,1555-9041,1555-905X,1,2,Med - Nefrologi,5120,191636027,69.0,100.0,"[u'http://nl.dbpedia.org/resource/American_Journal_of_Clinical_Oncology', u'http://nl.dbpedia.org/resource/American_Journal_of_Clinical_Oncology', u'http://wikidata.dbpedia.org/resource/Q2886177', u'http://nl.dbpedia.org/resource/American_Journal_of_Clinical_Oncology', u'http://nl.dbpedia.org/resource/American_Journal_of_Clinical_Oncology', u'http://nl.dbpedia.org/resource/American_Journal_of_Clinical_Oncology', u'http://www.wikidata.org/entity/Q2886177', u'http://wikidata.dbpedia.org/resource/Q2843019', u'http://www.wikidata.org/entity/Q2843019', u'http://wikidata.dbpedia.org/resource/Q15757929', u'http://www.wikidata.org/entity/Q15757929', u'http://nl.dbpedia.org/resource/Journal_of_the_American_Society_of_Echocardiography', u'http://nl.dbpedia.org/resource/Journal_of_the_American_Society_of_Echocardiography', u'http://nl.dbpedia.org/resource/Journal_of_the_American_Society_of_Echocardiography', u'http://wikidata.dbpedia.org/resource/Q1860420', u'http://nl.dbpedia.org/resource/Journal_of_the_American_Society_of_Echocardiography', u'http://nl.dbpedia.org/resource/Journal_of_the_American_Society_of_Echocardiography', u'http://www.wikidata.org/entity/Q1860420', u'http://nl.dbpedia.org/resource/Journal_of_the_American_Chemical_Society', u'http://nl.dbpedia.org/resource/Journal_of_the_American_Chemical_Society']"
American University International Law Review,1520-460X,,2,1,Rettsvitenskap,4139,29216265,46.0,100.0,"[u'http://wikidata.dbpedia.org/resource/Q468581', u'http://www.wikidata.org/entity/Q468581', u'http://wikidata.dbpedia.org/resource/Q2646273', u'http://www.wikidata.org/entity/Q2646273', u'http://rae2001.rkbexplorer.com/id/resource-Journal-american_university_international_law_review:1999', u'http://rae2001.rkbexplorer.com/id/resource-Journal-american_university_international_law_review:1999', u'http://wikidata.dbpedia.org/resource/Q15753137', u'http://dbpedia.org/resource/American_University_International_Law_Review', u'http://wikidata.dbpedia.org/resource/Q15753137', u'http://era.rkbexplorer.com/id/ERAID-33078', u'http://lobid.org/resource/HT006809863', u'http://lobid.org/resource/HT012937932', u'http://lobid.org/resource/HT012908414', u'http://lobid.org/resource/HT006809865', u'http://lobid.org/resource/HT008741806', u'http://lobid.org/resource/HT006809858', u'http://lobid.org/resource/HT014827004', u'http://lobid.org/resource/HT006809861', u'http://lod.hebis.de/resource/06696039', u'http://lod.hebis.de/resource/06696039']"
Annals of the Association of American Geographers,0004-5608,1467-8306,2,1,Geografi,12751,258665749,37.0,100.0,"[u'http://ld.zdb-services.de/resource/329-3', u'http://ld.zdb-services.de/resource/1482449-8', u'http://dbpedia.org/resource/Sijilmasa', u'http://dbpedia.org/resource/Classic_Maya_collapse', u'http://dbpedia.org/resource/Physiographic_regions_of_the_world', u'http://www.hero.ac.uk/rae/#Journal-annals_of_the_association_of_american_geographers:1997', u'http://www.hero.ac.uk/rae/#Journal-annals_of_the_association_of_american_geographers:2000', u'http://eprints.rkbexplorer.com/id/ucl/journal-2fae4b7c9b740646f6ee5d0f747561b7', u'http://www.hero.ac.uk/rae/#Journal-annals_of_the_association_of_american_geographers:2000', u'http://rae2001.rkbexplorer.com/id/resource-Journal-annals_of_the_association_of_american_geographers:1997', u'http://rae2001.rkbexplorer.com/id/resource-Journal-annals_of_the_association_of_american_geographers:1996', u'http://www.hero.ac.uk/rae/#Journal-annals_of_the_association_of_american_geographers:1996', u'http://rae2001.rkbexplorer.com/id/resource-Journal-annals_of_the_association_of_american_geographers:1999', u'http://rae2001.rkbexplorer.com/id/resource-Journal-annals_of_the_association_of_american_geographers:1998', u'http://rae2001.rkbexplorer.com/id/resource-Journal-annals_of_the_association_of_american_geographers:1998', u'http://de.dbpedia.org/resource/Physiographische_Regionen_der_Erde_nach_Fenneman', u'http://mk.dbpedia.org/resource/\u0428\u043f\u0430\u043d\u0441\u043a\u043e_\u043e\u0441\u0432\u043e\u0458\u0443\u0432\u0430\u045a\u0435_\u043d\u0430_\u0418\u043c\u043f\u0435\u0440\u0438\u0458\u0430\u0442\u0430_\u043d\u0430_\u0418\u043d\u043a\u0438\u0442\u0435', u'http://pt.dbpedia.org/resource/Sijilmassa', u'http://dbpedia.org/resource/Spanish_conquest_of_the_Inca_Empire', u'http://wikidata.dbpedia.org/resource/Q15753179']"
Annual Review of Materials Research,0084-6600,,2,1,Tekn - Materialteknologi,4889,190776397,63.0,100.0,"[u'http://nl.dbpedia.org/resource/Annual_Review_of_Biophysics', u'http://nl.dbpedia.org/resource/Annual_Review_of_Physiology', u'http://wikidata.dbpedia.org/resource/Q567356', u'http://wikidata.dbpedia.org/resource/Q4034062', u'http://nl.dbpedia.org/resource/Annual_Review_of_Physiology', u'http://nl.dbpedia.org/resource/Annual_Review_of_Physiology', u'http://www.wikidata.org/entity/Q567356', u'http://nl.dbpedia.org/resource/Annual_Review_of_Biophysics', u'http://wikidata.dbpedia.org/resource/Q1619169', u'http://nl.dbpedia.org/resource/Annual_Review_of_Biophysics', u'http://nl.dbpedia.org/resource/Annual_Review_of_Biophysics', u'http://www.wikidata.org/entity/Q4034062', u'http://nl.dbpedia.org/resource/Annual_Review_of_Biophysics', u'http://www.wikidata.org/entity/Q1619169', u'http://nl.dbpedia.org/resource/Annual_Review_of_Physiology', u'http://wikidata.dbpedia.org/resource/Q567364', u'http://nl.dbpedia.org/resource/Annual_Review_of_Physiology', u'http://www.wikidata.org/entity/Q567364', u'http://eprints.rkbexplorer.com/id/journal-abd89a4f7e9fa0bbfd4a5c0859271ddd', u'http://dbpedia.org/resource/Annual_Review_of_Materials_Research']"
Annual Rewiew of the Sociology of Religion,1877-5233,,1,2,Teologi og religionsvitenskap,10868,256088092,15.0,100.0,"[u'http://wikidata.dbpedia.org/resource/Q1459361', u'http://www.wikidata.org/entity/Q1459361', u'http://nl.dbpedia.org/resource/The_northern_religion_of_things', u'http://wikidata.dbpedia.org/resource/Q7754376', u'http://dbpedia.org/resource/A_Sense_of_Loss', u'http://nl.dbpedia.org/resource/The_northern_religion_of_things', u'http://nl.dbpedia.org/resource/The_northern_religion_of_things', u'http://nl.dbpedia.org/resource/A_sense_of_loss', u'http://nl.dbpedia.org/resource/A_sense_of_loss', u'http://dbpedia.org/resource/A_Sense_of_Loss', u'http://nl.dbpedia.org/resource/The_northern_religion_of_things', u'http://nl.dbpedia.org/resource/The_northern_religion_of_things', u'http://wikidata.dbpedia.org/resource/Q465376', u'http://www.wikidata.org/entity/Q465376', u'http://wikidata.dbpedia.org/resource/Q919628', u'http://id.loc.gov/authorities/names/no2011034650', u'http://lod.hebis.de/resource/27349926', u'http://lod.hebis.de/resource/28048675', u'http://lod.hebis.de/resource/27349926', u'http://lod.hebis.de/resource/28048675']"
Applied Physics A: Materials Science & Processing,0947-8396,1432-0630,2,1,Tekn - Materialteknologi,4907,135978985,51.0,100.0,"[u'http://dbpedia.org/resource/Applied_Physics_A', u'http://dbpedia.org/resource/Applied_Physics_A', u'http://dbpedia.org/resource/Applied_Physics_A', u'http://dbpedia.org/resource/Applied_Physics_A', u'http://nl.dbpedia.org/resource/Applied_Physics_A', u'http://nl.dbpedia.org/resource/Applied_Physics_A', u'http://nl.dbpedia.org/resource/Applied_Physics_A', u'http://nl.dbpedia.org/resource/Applied_Physics_A', u'http://nl.dbpedia.org/resource/Applied_Physics_A', u'http://dbpedia.org/resource/Applied_Physics_A', u'http://dbpedia.org/resource/Applied_Physics_A', u'http://nl.dbpedia.org/resource/Applied_Physics_A', u'http://lobid.org/resource/ZDB1398311-8', u'http://ld.zdb-services.de/resource/283365-7', u'http://dbpedia.org/resource/Applied_Physics_A:_Materials_Science_&_Processing', u'http://dbpedia.org/resource/Applied_Physics_A', u'http://dbpedia.org/resource/Crystal_skull', u'http://ko.dbpedia.org/resource/\uc218\uc815_\ud574\uace8', u'http://rae2001.rkbexplorer.com/id/resource-Journal-applied_physics._a:_materials_science_and_processing:2000', u'http://dbpedia.org/resource/Applied_Physics_A']"
Applied physics B,0946-2171,1432-0649,2,1,Tekn - Generell,886,14898906,90.0,100.0,"[u'http://nl.dbpedia.org/resource/Applied_Physics_B', u'http://dbpedia.org/resource/Applied_Physics_B', u'http://wikidata.dbpedia.org/resource/Q2293947', u'http://www.wikidata.org/entity/Q2293947', u'http://nl.dbpedia.org/resource/Applied_Physics_B', u'http://dbpedia.org/resource/Applied_Physics_B', u'http://nl.dbpedia.org/resource/Applied_Physics_B', u'http://nl.dbpedia.org/resource/Applied_Physics_B', u'http://dbpedia.org/resource/Applied_Physics_B', u'http://nl.dbpedia.org/resource/Applied_Physics_B', u'http://dbpedia.org/resource/Applied_Physics_B', u'http://dbpedia.org/resource/Applied_Physics_B', u'http://nl.dbpedia.org/resource/International_Journal_of_Modern_Physics_B', u'http://nl.dbpedia.org/resource/International_Journal_of_Modern_Physics_B', u'http://nl.dbpedia.org/resource/International_Journal_of_Modern_Physics_B', u'http://nl.dbpedia.org/resource/International_Journal_of_Modern_Physics_B', u'http://nl.dbpedia.org/resource/Applied_Physics_Letters', u'http://nl.dbpedia.org/resource/Journal_of_Applied_Physics', u'http://nl.dbpedia.org/resource/Applied_Physics_Express', u'http://nl.dbpedia.org/resource/Current_Applied_Physics']"
